OriginAirportID,Origin,DestAirportID,Dest,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
10397,ATL,11624,EYW,1449,1429,315,11,9,0.2204338698390482,0.007591442374051,0.0062111801242236
10397,ATL,11637,FAR,5,5,1,0,0,0.2,0.0,0.0
10397,ATL,11638,FAT,218,216,62,2,0,0.287037037037037,0.0091743119266055,0.0
10397,ATL,11641,FAY,158,156,44,2,0,0.282051282051282,0.0126582278481012,0.0
10397,ATL,11697,FLL,6551,6440,1923,96,15,0.2986024844720497,0.0146542512593497,0.0022897267592733
10397,ATL,11775,FSD,365,357,103,7,1,0.2885154061624649,0.0191780821917808,0.0027397260273972
10397,ATL,11823,FWA,1042,1023,230,17,2,0.2248289345063538,0.0163147792706333,0.0019193857965451
10397,ATL,11884,GEG,507,500,99,6,1,0.198,0.0118343195266272,0.0019723865877712
10397,ATL,11953,GNV,1548,1523,265,22,3,0.1739986868023637,0.0142118863049095,0.001937984496124
10397,ATL,11973,GPT,1291,1264,231,23,4,0.182753164556962,0.0178156467854376,0.0030983733539891
10397,ATL,11977,GRB,370,366,88,2,2,0.2404371584699453,0.0054054054054054,0.0054054054054054
10397,ATL,11986,GRR,1433,1415,249,16,2,0.1759717314487632,0.0111653872993719,0.0013956734124214
10397,ATL,11995,GSO,2667,2626,505,37,4,0.1923076923076923,0.0138732658417697,0.0014998125234345
10397,ATL,11996,GSP,2815,2782,518,30,3,0.1861969805895039,0.0106571936056838,0.0010657193605683
10397,ATL,12094,HDN,101,94,18,3,4,0.1914893617021276,0.0297029702970297,0.0396039603960396
10397,ATL,12124,HHH,195,194,31,0,1,0.1597938144329896,0.0,0.0051282051282051
10397,ATL,12173,HNL,378,377,66,0,1,0.1750663129973474,0.0,0.0026455026455026
10397,ATL,12191,HOU,3036,2989,638,37,10,0.2134493141518902,0.0121870882740447,0.0032938076416337
10397,ATL,12197,HPN,824,800,185,12,12,0.23125,0.0145631067961165,0.0145631067961165
10397,ATL,12217,HSV,2361,2326,423,29,6,0.1818572656921754,0.012282930961457,0.0025412960609911
10397,ATL,12264,IAD,3852,3782,996,64,6,0.2633527234267583,0.0166147455867082,0.0015576323987538
10397,ATL,12266,IAH,4520,4429,1191,79,12,0.2689094603748024,0.0174778761061946,0.0026548672566371
10397,ATL,12278,ICT,1122,1107,184,7,8,0.1662149954832881,0.0062388591800356,0.0071301247771836
10397,ATL,12323,ILM,985,976,194,9,0,0.1987704918032787,0.0091370558375634,0.0
10397,ATL,12339,IND,3329,3290,607,35,4,0.1844984802431611,0.0105136677680985,0.0012015620306398
10397,ATL,12441,JAC,209,204,59,3,2,0.2892156862745098,0.0143540669856459,0.0095693779904306
10397,ATL,12448,JAN,2129,2091,402,31,7,0.1922525107604017,0.0145608266791921,0.0032879286049788
10397,ATL,12451,JAX,4044,3982,1082,58,4,0.2717227523857358,0.0143422354104846,0.0009891196834817
10397,ATL,12478,JFK,4299,4210,1138,82,7,0.2703087885985748,0.0190742033030937,0.001628285647825
10397,ATL,12889,LAS,4924,4866,1230,51,7,0.2527743526510481,0.010357432981316,0.0014216084484159
10397,ATL,12892,LAX,5380,5312,1272,57,11,0.2394578313253012,0.0105947955390334,0.0020446096654275
10397,ATL,12945,LEX,2083,2048,391,30,5,0.19091796875,0.0144023043686989,0.0024003840614498
10397,ATL,12951,LFT,230,227,58,3,0,0.2555066079295154,0.0130434782608695,0.0
10397,ATL,12953,LGA,7748,7532,2136,178,38,0.2835900159320234,0.0229736706246773,0.0049044914816726
10397,ATL,12992,LIT,2262,2232,403,25,5,0.1805555555555555,0.01105216622458,0.002210433244916
10397,ATL,13198,MCI,3292,3240,654,40,12,0.2018518518518518,0.0121506682867557,0.0036452004860267
10397,ATL,13204,MCO,8143,8022,2560,92,29,0.319122413363251,0.0112980474026771,0.0035613410291047
10397,ATL,13230,MDT,959,950,174,8,1,0.1831578947368421,0.008342022940563,0.0010427528675703
10397,ATL,13232,MDW,3569,3498,783,55,16,0.2238421955403087,0.0154104791258055,0.0044830484729616
10397,ATL,13244,MEM,3289,3241,603,44,4,0.1860536871336007,0.0133779264214046,0.0012161751292186
10397,ATL,13277,MGM,732,722,186,9,1,0.2576177285318559,0.0122950819672131,0.0013661202185792
10397,ATL,13303,MIA,6245,6139,1777,89,17,0.2894608242384753,0.0142514011208967,0.0027221777421937
10397,ATL,13342,MKE,2268,2236,408,30,2,0.182468694096601,0.0132275132275132,0.0008818342151675
10397,ATL,13360,MLB,1407,1382,276,22,3,0.1997105643994211,0.0156361051883439,0.0021321961620469
10397,ATL,13422,MOB,531,521,130,9,1,0.2495201535508637,0.0169491525423728,0.0018832391713747
10397,ATL,13485,MSN,1008,995,187,11,2,0.1879396984924623,0.0109126984126984,0.0019841269841269
10397,ATL,13487,MSP,3546,3529,747,14,3,0.2116746953811278,0.0039481105470953,0.0008460236886632
10397,ATL,13495,MSY,4357,4264,1007,86,7,0.2361632270168855,0.0197383520771172,0.0016066100527886
10397,ATL,13502,MTJ,95,93,13,2,0,0.1397849462365591,0.0210526315789473,0.0
10397,ATL,13577,MYR,1483,1463,325,15,5,0.2221462747778537,0.0101146325016857,0.0033715441672285
10397,ATL,13830,OGG,129,128,16,1,0,0.125,0.0077519379844961,0.0
10397,ATL,13851,OKC,1830,1796,406,29,5,0.2260579064587973,0.0158469945355191,0.0027322404371584
10397,ATL,13871,OMA,1788,1760,389,23,5,0.2210227272727272,0.0128635346756152,0.0027964205816554
10397,ATL,13891,ONT,930,914,224,14,2,0.2450765864332603,0.0150537634408602,0.0021505376344086
10397,ATL,13930,ORD,6189,6058,1576,116,15,0.2601518653020799,0.0187429310066246,0.0024236548715462
10397,ATL,13931,ORF,2849,2810,731,36,3,0.2601423487544484,0.0126360126360126,0.001053001053001
10397,ATL,14027,PBI,3850,3798,1086,47,5,0.2859399684044234,0.0122077922077922,0.0012987012987012
10397,ATL,14057,PDX,1586,1576,343,9,1,0.2176395939086294,0.0056746532156368,0.0006305170239596
10397,ATL,14100,PHL,5640,5507,1593,129,4,0.2892682041038678,0.0228723404255319,0.000709219858156
10397,ATL,14107,PHX,3775,3733,954,30,12,0.2555585320117867,0.0079470198675496,0.0031788079470198
10397,ATL,14122,PIT,2806,2757,493,44,5,0.1788175553137468,0.0156806842480399,0.0017818959372772
10397,ATL,14193,PNS,2715,2660,504,51,4,0.1894736842105263,0.0187845303867403,0.0014732965009208
10397,ATL,14262,PSP,187,185,22,2,0,0.1189189189189189,0.0106951871657754,0.0
10397,ATL,14307,PVD,1032,1013,292,18,1,0.2882527147087858,0.0174418604651162,0.000968992248062
10397,ATL,14321,PWM,639,632,164,7,0,0.2594936708860759,0.0109546165884194,0.0
10397,ATL,14457,RAP,16,15,0,1,0,0.0,0.0625,0.0
10397,ATL,14492,RDU,4599,4546,937,50,3,0.2061152661680598,0.0108719286801478,0.0006523157208088
10397,ATL,14524,RIC,2744,2698,606,40,6,0.2246108228317272,0.0145772594752186,0.0021865889212827
10397,ATL,14570,RNO,313,305,111,5,3,0.3639344262295082,0.0159744408945686,0.0095846645367412
10397,ATL,14574,ROA,365,355,87,6,4,0.2450704225352112,0.0164383561643835,0.010958904109589
10397,ATL,14576,ROC,1047,1026,295,20,1,0.2875243664717349,0.0191021967526265,0.0009551098376313
10397,ATL,14635,RSW,2938,2888,703,42,8,0.2434210526315789,0.0142954390742001,0.0027229407760381
