OriginAirportID,Origin,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
12197,HPN,10794,10451,2407,281,62,0.2303128887187829,0.0260329812858995,0.0057439318139707
12206,HRL,4307,4178,709,122,7,0.1696984202967927,0.0283259809612259,0.0016252612026932
12217,HSV,8550,8278,1996,244,28,0.2411210437303696,0.0285380116959064,0.0032748538011695
12223,HTS,540,531,234,6,3,0.4406779661016949,0.0111111111111111,0.0055555555555555
12250,HYA,380,364,103,13,3,0.2829670329670329,0.0342105263157894,0.0078947368421052
12255,HYS,627,608,122,18,1,0.2006578947368421,0.0287081339712918,0.0015948963317384
12264,IAD,57546,56790,12038,612,144,0.2119739390737806,0.0106349702846418,0.0025023459493274
12265,IAG,474,466,142,6,2,0.3047210300429184,0.0126582278481012,0.0042194092827004
12266,IAH,117259,115404,26359,1513,342,0.2284062944092059,0.0129030607458702,0.0029166204726289
12278,ICT,11164,10856,2421,277,31,0.2230103168754605,0.0248118953780007,0.0027767825152275
12280,IDA,4419,4354,881,38,27,0.2023426734037666,0.0085992305951572,0.0061099796334012
12323,ILM,7416,7177,1437,224,15,0.2002229343736937,0.0302049622437971,0.0020226537216828
12335,IMT,727,712,152,15,0,0.2134831460674157,0.0206327372764786,0.0
12339,IND,47346,46473,9149,771,102,0.1968669980418737,0.0162843746039792,0.0021543530604486
12343,INL,658,650,74,8,0,0.1138461538461538,0.0121580547112462,0.0
12391,ISP,5283,5207,1246,54,22,0.239293259074323,0.0102214650766609,0.0041643005867878
12397,ITH,4,4,0,0,0,0.0,0.0,0.0
12402,ITO,6649,6603,701,45,1,0.1061638649098894,0.0067679350278237,0.0001503985561738
12441,JAC,6386,6237,1629,90,59,0.2611832611832612,0.0140933291575321,0.0092389602254932
12448,JAN,6118,5953,1127,156,9,0.1893163111036452,0.0254985289310232,0.0014710689767898
12451,JAX,28322,27761,5648,485,76,0.2034508843341378,0.0171244968575665,0.0026834263117011
12478,JFK,104760,102370,25449,2116,273,0.2485982221353912,0.0201985490645284,0.0026059564719358
12511,JLN,726,699,193,23,4,0.2761087267525036,0.0316804407713498,0.0055096418732782
12519,JMS,652,638,128,11,3,0.2006269592476489,0.0168711656441717,0.004601226993865
12523,JNU,4703,4580,725,89,34,0.158296943231441,0.018924091005741,0.0072294280246651
12544,USA,710,703,318,6,1,0.4523470839260313,0.0084507042253521,0.0014084507042253
12559,JST,727,703,174,23,1,0.2475106685633001,0.0316368638239339,0.0013755158184319
12758,KOA,15796,15621,1933,153,22,0.1237436783816657,0.0096859964547986,0.0013927576601671
12819,KTN,2388,2325,441,59,4,0.1896774193548387,0.0247068676716917,0.0016750418760469
12878,LAF,236,231,48,5,0,0.2077922077922078,0.0211864406779661,0.0
12884,LAN,1965,1912,445,50,3,0.2327405857740585,0.0254452926208651,0.0015267175572519
12888,LAR,627,603,170,24,0,0.2819237147595356,0.0382775119617224,0.0
12889,LAS,183803,181901,37799,1374,528,0.2077998471696142,0.007475394852097,0.0028726408165263
12891,LAW,1088,1030,268,57,1,0.2601941747572815,0.0523897058823529,0.0009191176470588
12892,LAX,190472,188578,33123,1315,579,0.1756461517250156,0.0069039018858414,0.0030398168759712
12896,LBB,6576,6433,1254,113,30,0.1949323799160578,0.0171836982968369,0.0045620437956204
12898,LBE,492,483,97,7,2,0.2008281573498964,0.0142276422764227,0.0040650406504065
12899,LBF,626,609,150,15,2,0.2463054187192118,0.023961661341853,0.0031948881789137
12902,LBL,627,611,155,16,0,0.2536824877250409,0.0255183413078149,0.0
12915,LCH,1186,1129,281,56,1,0.2488928255093002,0.0472175379426644,0.0008431703204047
12917,LCK,1170,1159,360,6,5,0.3106125970664365,0.0051282051282051,0.0042735042735042
12945,LEX,9373,9160,2057,193,20,0.2245633187772925,0.0205910594260108,0.0021337885415555
12951,LFT,2674,2575,626,91,8,0.2431067961165048,0.0340314136125654,0.0029917726252804
12953,LGA,135725,131177,34688,4123,425,0.2644366009285164,0.0303776017682814,0.0031313317369681
12954,LGB,16724,16619,2276,79,26,0.1369516818099765,0.0047237502989715,0.0015546519971298
