city_a,city_b,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,arrival_delay_rate,cancellation_rate,diversion_rate
"Chicago, IL","Phoenix, AZ",16802,16558,3510,182,62,0.2119821234448605,0.010832043804309011,0.0036900369003690036
"New York, NY","Washington, DC",16333,15490,4250,826,17,0.27437056165267915,0.0505724606624625,0.0010408375681136349
"Atlanta, GA","Orlando, FL",16283,16058,4676,182,43,0.2911944202266783,0.01117730148007124,0.0026407910090278206
"Honolulu, HI","Lihue, HI",16162,16001,1869,154,7,0.11680519967502032,0.009528523697562182,0.00043311471352555376
"Dallas/Fort Worth, TX","Houston, TX",16123,15510,4273,577,36,0.2754996776273372,0.03578738448179619,0.0022328350803200395
"Fort Lauderdale, FL","New York, NY",16072,15616,4216,394,62,0.2699795081967213,0.02451468392234943,0.0038576406172224987
"Chicago, IL","Las Vegas, NV",15794,15609,3279,127,58,0.2100711128195272,0.008041028238571609,0.0036722806128909715
"Chicago, IL","Houston, TX",15681,15429,3685,216,36,0.2388359582604187,0.013774631719915822,0.0022957719533193035
"Denver, CO","Los Angeles, CA",15652,15537,3144,83,32,0.2023556671172041,0.0053028366981855354,0.0020444671607462305
"Denver, CO","Salt Lake City, UT",15510,15405,3881,74,31,0.2519311911716975,0.004771115409413282,0.0019987105093488074
"Chicago, IL","Detroit, MI",15290,15007,3581,272,11,0.23862197641100819,0.01778940483976455,0.0007194244604316547
"Los Angeles, CA","Phoenix, AZ",15287,15183,2451,94,10,0.16143054732266351,0.006149015503368875,0.000654150585464774
"Atlanta, GA","Houston, TX",15084,14811,3391,239,34,0.2289514549996624,0.015844603553434103,0.0022540440201538055
"Honolulu, HI","Kona, HI",14978,14814,1612,158,6,0.10881598487916835,0.010548804913873682,0.0004005875283749499
"Los Angeles, CA","Seattle, WA",14790,14643,2342,135,12,0.15993990302533634,0.009127789046653144,0.0008113590263691683
"Phoenix, AZ","Seattle, WA",14720,14622,2902,67,31,0.1984680618246478,0.0045516304347826084,0.002105978260869565
"Denver, CO","Las Vegas, NV",14538,14415,3736,99,24,0.2591744710371141,0.00680973999174577,0.0016508460586050352
"Las Vegas, NV","San Diego, CA",14209,14022,3889,181,6,0.2773498787619455,0.012738405236117953,0.000422267576887888
"Chicago, IL","Dallas/Fort Worth, TX",14086,13672,3963,350,64,0.2898624926857812,0.024847366179185006,0.004543518387050973
"Charlotte, NC","New York, NY",14020,13667,3443,322,31,0.25192068486134483,0.022967189728958632,0.002211126961483595
"San Francisco, CA","Seattle, WA",13844,13700,3459,133,11,0.2524817518248175,0.009607049985553309,0.0007945680439179428
"Denver, CO","Houston, TX",13828,13682,3230,95,51,0.23607659698874434,0.006870118599942146,0.0036881689326005206
"Orlando, FL","Washington, DC",13788,13541,3693,193,54,0.2727272727272727,0.013997679141282275,0.0039164490861618795
"Anchorage, AK","Seattle, WA",13756,13614,2851,133,9,0.209416776847363,0.009668508287292817,0.0006542599592904915
"Chicago, IL","Nashville, TN",13679,13435,3404,217,27,0.25336806847785637,0.015863732729000657,0.001973828496235105
"New York, NY","San Francisco, CA",13404,13217,2736,133,54,0.20700612847090868,0.009922411220531184,0.0040286481647269475
"San Diego, CA","San Francisco, CA",13371,13225,3757,128,18,0.28408317580340264,0.009572956398175155,0.0013461969934933811
"Atlanta, GA","Dallas/Fort Worth, TX",13288,12898,3528,338,52,0.2735307799658862,0.025436484045755568,0.0039133052378085495
"Houston, TX","Los Angeles, CA",13201,13056,2166,104,41,0.16590073529411764,0.007878191046132868,0.0031058253162639196
"Dallas/Fort Worth, TX","Los Angeles, CA",13166,12901,3288,222,43,0.25486396403379585,0.016861613246240317,0.0032659881512988
"Newark, NJ","Orlando, FL",13161,12834,3565,271,56,0.2777777777777778,0.02059114049084416,0.004254995820986247
"Atlanta, GA","Fort Lauderdale, FL",13100,12870,3593,198,32,0.27917637917637916,0.015114503816793893,0.0024427480916030535
"Las Vegas, NV","Phoenix, AZ",12852,12706,2642,134,12,0.20793325987722336,0.010426392779333956,0.0009337068160597573
"Denver, CO","Seattle, WA",12790,12648,3385,90,52,0.2676312460468058,0.007036747458952306,0.004065676309616888
"Hilo, HI","Honolulu, HI",12668,12579,1306,85,4,0.10382383337308213,0.006709820018945374,0.00031575623618566466
"Atlanta, GA","Miami, FL",12487,12274,3522,179,34,0.286948020205312,0.014334908304636823,0.0027228317450148152
"Orlando, FL","San Juan, PR",12354,12261,2559,61,32,0.20871054563249328,0.004937672009065889,0.0025902541686903028
"Denver, CO","New York, NY",12234,11925,3385,222,87,0.28385744234800836,0.018146150073565473,0.007111329082883766
