city,state,scheduled_flights,eligible_arrivals,delayed_arrivals,cancelled_flights,diverted_flights,airports,latitude,longitude,arrival_delay_rate,cancellation_rate,diversion_rate
"Baton Rouge, LA",LA,4535,4386,937,141,8,BTR,30.53305556,-91.15,0.2136342909256726,0.03109151047409041,0.0017640573318632856
"Tallahassee, FL",FL,4516,4400,807,105,11,TLH,30.39666667,-84.35083332999999,0.1834090909090909,0.02325066430469442,0.002435783879539415
"Missoula, MT",MT,4490,4432,916,32,26,MSO,46.916232863015594,-114.0910236353363,0.20667870036101083,0.0071269487750556795,0.005790645879732739
"Idaho Falls, ID",ID,4419,4354,881,38,27,IDA,43.519894457775514,-112.06409022695406,0.20234267340376666,0.008599230595157275,0.006109979633401222
"Kalispell, MT",MT,4340,4295,807,25,20,FCA,48.3124902738871,-114.2538539408963,0.1878928987194412,0.00576036866359447,0.004608294930875576
"Harlingen/San Benito, TX",TX,4307,4178,709,122,7,HRL,26.22682886966566,-97.65488442494544,0.16969842029679272,0.028325980961225912,0.00162526120269329
"Green Bay, WI",WI,4294,4207,924,84,3,GRB,44.48472222,-88.12972222,0.21963394342762063,0.019562179785747556,0.0006986492780624127
"Bismarck/Mandan, ND",ND,4270,4210,936,32,28,BIS,46.77068956599532,-100.7436059057377,0.22232779097387173,0.007494145199063232,0.006557377049180328
"Akron, OH",OH,4229,4152,1032,68,9,CAK,40.91588555391109,-81.44213518858597,0.24855491329479767,0.016079451406951998,0.002128162686214235
"Durango, CO",CO,4220,4136,931,67,17,DRO,37.15166667,-107.75388889000001,0.22509671179883947,0.015876777251184835,0.004028436018957346
"Moline, IL",IL,4204,4097,960,97,10,MLI,41.44790120359657,-90.50792182386299,0.23431779350744447,0.0230732635585157,0.002378686964795433
"Corpus Christi, TX",TX,3945,3855,694,83,7,CRP,27.7664709179417,-97.49919300041064,0.18002594033722438,0.021039290240811154,0.0017743979721166034
"Eagle, CO",CO,3868,3805,1190,42,21,EGE,39.64277778,-106.91583333,0.31274638633377133,0.010858324715615306,0.005429162357807653
"Fairbanks, AK",AK,3759,3726,596,33,0,FAI,64.81527778,-147.85500517368718,0.15995705850778313,0.008778930566640064,0.0
"Santa Fe, NM",NM,3681,3609,856,59,13,SAF,35.616919919904916,-106.08929329267319,0.2371848157384317,0.01602825319206737,0.0035316490084216245
"Bangor, ME",ME,3656,3515,939,131,10,BGR,44.8075,-68.82805556,0.26714082503556186,0.035831509846827134,0.002735229759299781
"Gulfport/Biloxi, MS",MS,3361,3243,527,111,7,GPT,30.40423121257661,-89.06809663074978,0.16250385445575086,0.033025885153228206,0.0020827134781315083
